                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1512,                0.73394,                 1.1169,                0.87881,                0.95483,                0.95879,                0.62684,                 1.2088,                 0.6765,                   1.17,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.1281,                0.70584,                 1.0941,                0.92181,                0.90544,                0.95263,                0.61757,                 1.2571,                 0.6864,                 1.1661,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.1187,                0.69694,                 1.0953,                0.90418,                0.90758,                0.95445,                0.61899,                 1.2295,                0.70101,                 1.1559,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.1287,                0.70273,                  1.088,                0.92465,                0.94282,                0.96653,                0.63069,                 1.2129,                0.66423,                 1.1537,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.1298,                0.69587,                  1.098,                0.91279,                 0.9278,                0.95846,                0.63598,                 1.1976,                0.66079,                 1.1752,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.1205,                0.70035,                 1.0943,                0.89728,                0.93204,                0.97226,                 0.6373,                 1.2062,                0.67032,                  1.162,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.1103,                0.68826,                 1.0883,                0.89866,                0.94737,                0.97047,                0.63446,                 1.2322,                0.67801,                 1.1745,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.1028,                0.70556,                  1.101,                0.94268,                0.88897,                0.96748,                0.62837,                 1.2166,                 0.6648,                 1.1668,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.1202,                0.69821,                 1.1092,                0.94625,                0.89084,                0.95504,                  0.631,                 1.2153,                0.65576,                 1.1649,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.1112,                0.69034,                 1.0982,                0.97766,                0.87984,                0.96795,                0.62648,                  1.226,                 0.6713,                 1.1773,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.0807,                0.66771,                 1.0788,                0.93022,                0.90292,                0.96382,                0.62516,                 1.2369,                0.66964,                 1.1762,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.1171,                0.68115,                 1.0932,                 0.9523,                  0.909,                0.97767,                0.62898,                  1.245,                0.66467,                 1.1748,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.1126,                0.68757,                 1.0971,                0.94613,                 0.9157,                0.97393,                0.63174,                 1.2557,                0.65465,                 1.1653,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.1114,                0.67439,                 1.0878,                0.94829,                0.92831,                0.97351,                0.63439,                 1.2782,                0.66097,                 1.1805,             0.00038884,             0.00038884,             0.00038884
